datetime,tanggal,jam,minute,day_of_week,day_of_month,month,quarter,week_of_year,is_weekend,hari_libur,time_of_day,season,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,suhu,jumlah_penghuni,luas_rumah,daya_listrik,golongan_tarif,jumlah_ac,jam_ac_per_hari,jumlah_kulkas,jumlah_tv,jam_tv_per_hari,jumlah_lampu,jam_lampu_per_hari,jumlah_mesin_cuci,frekuensi_cuci_per_minggu,jumlah_komputer,jam_komputer_per_hari,jumlah_perangkat_aktif,jam_pemakaian_per_hari,water_heater,dispenser,microwave,kwh_ac,kwh_kulkas,kwh_tv,kwh_lampu,kwh_mesin_cuci,kwh_komputer,kwh_tambahan,hist_h1,hist_h2,hist_h3,hist_h4,hist_h5,hist_h6,hist_h7,konsumsi_kwh_hari,konsumsi_kw_jam,estimasi_tagihan_bulan
2020-01-01 12:41:00,2020-01-01,12,41,2,1,1,1,1,0,0,2,0,0.0,-1.0,0.5,0.866025,0.974928,-0.222521,29.1,5,72,450,R-1/TR,1,7,2,3,4,5,4,1,3,2,2,15,7,0,1,0,6.3,4.8,0.84,0.2,0.214,0.48,2.8,15.092,15.608,16.09,17.229,14.423,15.779,13.524,15.487,0.5267,671222.0
2020-01-01 13:12:00,2020-01-01,13,12,2,1,1,1,1,0,0,2,0,-0.258819,-0.965926,0.5,0.866025,0.974928,-0.222521,33.2,1,72,2200,R-1/TR,1,11,1,2,5,4,4,1,5,1,4,11,11,1,0,0,9.9,2.4,0.7,0.16,0.357,0.48,1.0,17.118,15.214,14.636,17.718,16.698,17.855,18.198,16.671,0.4933,722538.0
2020-01-01 14:57:00,2020-01-01,14,57,2,1,1,1,1,0,0,2,0,-0.5,-0.866025,0.5,0.866025,0.974928,-0.222521,31.3,6,72,3500,R-2/TR,1,8,2,1,6,4,4,1,2,0,0,10,8,0,1,0,7.2,4.8,0.42,0.16,0.143,0.0,2.8,22.068,17.799,17.256,19.185,20.399,18.633,18.389,19.167,0.6187,830717.0
2020-01-01 15:55:00,2020-01-01,15,55,2,1,1,1,1,0,0,2,0,-0.707107,-0.707107,0.5,0.866025,0.974928,-0.222521,28.3,7,72,900,R-1/TR,1,7,1,1,3,3,5,1,5,0,0,8,7,0,1,0,6.3,2.4,0.21,0.15,0.357,0.0,2.8,13.955,15.324,14.175,11.594,12.072,14.495,16.637,13.965,0.4639,605257.0
2020-01-01 16:41:00,2020-01-01,16,41,2,1,1,1,1,0,0,2,0,-0.866025,-0.5,0.5,0.866025,0.974928,-0.222521,31.0,6,120,2200,R-1/TR,1,10,1,2,3,9,5,1,5,0,0,16,10,0,1,1,9.0,2.4,0.42,0.45,0.357,0.0,3.05,19.395,16.198,16.7,17.579,16.477,16.768,15.697,18.32,0.649,794007.0
2020-01-01 18:14:00,2020-01-01,18,14,2,1,1,1,1,0,1,3,0,-1.0,-0.0,0.5,0.866025,0.974928,-0.222521,29.8,2,72,1300,R-1/TR,0,9,1,2,7,3,7,1,3,1,7,9,9,1,0,0,0.0,2.4,0.98,0.21,0.214,0.84,1.0,5.985,6.43,6.344,6.767,6.536,6.228,5.595,6.219,0.361,269538.0
2020-01-01 19:39:00,2020-01-01,19,39,2,1,1,1,1,0,0,3,0,-0.965926,0.258819,0.5,0.866025,0.974928,-0.222521,30.5,3,72,3500,R-2/TR,1,10,1,3,5,4,8,1,4,0,0,11,10,0,1,0,9.0,2.4,1.05,0.32,0.286,0.0,2.8,18.757,18.443,16.557,15.693,21.01,22.216,19.029,18.762,1.2089,813164.0
2020-01-01 20:52:00,2020-01-01,20,52,2,1,1,1,1,0,0,3,0,-0.866025,0.5,0.5,0.866025,0.974928,-0.222521,30.3,7,72,1300,R-1/TR,1,8,1,1,4,4,6,1,4,1,2,9,8,0,0,0,7.2,2.4,0.28,0.24,0.286,0.24,0.0,13.152,11.517,12.899,10.743,12.269,13.722,11.583,11.751,0.7206,509300.0
2020-01-01 20:56:00,2020-01-01,20,56,2,1,1,1,1,0,0,3,0,-0.866025,0.5,0.5,0.866025,0.974928,-0.222521,28.7,1,36,1300,R-1/TR,0,6,2,3,6,3,7,1,5,1,3,11,6,0,0,1,0.0,4.8,1.26,0.21,0.357,0.36,0.25,7.661,8.492,8.595,7.259,8.49,8.436,7.588,8.539,0.5094,370089.0
2020-01-01 22:18:00,2020-01-01,22,18,2,1,1,1,1,0,0,4,0,-0.5,0.866025,0.5,0.866025,0.974928,-0.222521,31.9,2,90,1300,R-1/TR,2,10,2,1,3,6,8,1,4,0,0,12,10,0,0,0,18.0,4.8,0.21,0.48,0.286,0.0,0.0,27.626,27.392,31.661,29.156,29.266,25.277,25.843,29.08,1.3474,1260356.0
2020-01-01 23:07:00,2020-01-01,23,7,2,1,1,1,1,0,0,4,0,-0.258819,0.965926,0.5,0.866025,0.974928,-0.222521,28.9,4,72,2200,R-1/TR,1,6,1,2,6,5,6,1,5,1,8,12,6,0,1,0,5.4,2.4,0.84,0.3,0.357,0.96,2.8,17.877,20.067,18.846,16.507,20.298,17.795,18.051,17.823,0.6208,772467.0
2020-01-01 23:16:00,2020-01-01,23,16,2,1,1,1,1,0,0,4,0,-0.258819,0.965926,0.5,0.866025,0.974928,-0.222521,30.4,1,90,1300,R-1/TR,1,12,1,3,5,6,8,1,2,1,4,15,12,1,1,0,10.8,2.4,1.05,0.48,0.143,0.48,3.8,24.19,24.031,22.975,24.89,28.589,24.171,22.976,23.99,0.7694,1039751.0
2020-01-02 00:34:00,2020-01-02,0,34,3,2,1,1,1,0,0,4,0,0.0,1.0,0.5,0.866025,0.433884,-0.900969,25.8,2,45,3500,R-2/TR,1,5,2,1,6,2,8,1,3,1,1,9,5,0,1,0,4.5,4.8,0.42,0.16,0.214,0.12,2.8,15.069,17.045,14.151,13.764,14.019,17.439,14.569,15.171,0.2494,657526.0
2020-01-02 00:52:00,2020-01-02,0,52,3,2,1,1,1,0,0,4,0,0.0,1.0,0.5,0.866025,0.433884,-0.900969,27.8,7,120,1300,R-1/TR,1,6,1,3,4,8,7,1,5,1,0,16,6,0,0,1,5.4,2.4,0.84,0.56,0.357,0.0,0.25,8.904,12.231,11.292,9.02,10.577,11.016,10.681,10.74,0.1687,465482.0
2020-01-02 03:21:00,2020-01-02,3,21,3,2,1,1,1,0,0,4,0,0.707107,0.707107,0.5,0.866025,0.433884,-0.900969,29.3,3,72,1300,R-1/TR,1,5,1,1,3,3,6,1,2,2,5,9,5,0,0,0,4.5,2.4,0.21,0.18,0.143,1.2,0.0,10.428,10.551,10.701,10.844,11.584,10.568,10.989,10.238,0.1294,443725.0
2020-01-02 05:21:00,2020-01-02,5,21,3,2,1,1,1,0,0,0,0,0.965926,0.258819,0.5,0.866025,0.433884,-0.900969,26.5,4,90,1300,R-1/TR,1,4,1,3,4,7,7,1,2,1,7,16,4,1,1,0,3.6,2.4,0.84,0.49,0.143,0.84,3.8,15.555,14.492,14.19,14.617,14.716,16.011,13.194,14.376,0.2063,623070.0
2020-01-02 07:11:00,2020-01-02,7,11,3,2,1,1,1,0,0,0,0,0.965926,-0.258819,0.5,0.866025,0.433884,-0.900969,30.3,5,90,2200,R-1/TR,1,8,2,1,5,6,3,1,3,0,0,12,8,0,1,0,7.2,4.8,0.35,0.18,0.214,0.0,2.8,17.28,18.812,18.333,17.65,16.168,21.095,19.943,18.705,0.5313,810693.0
2020-01-02 08:02:00,2020-01-02,8,2,3,2,1,1,1,0,0,0,0,0.866025,-0.5,0.5,0.866025,0.433884,-0.900969,31.3,3,200,2200,R-1/TR,3,9,1,3,6,14,4,1,2,2,2,24,9,0,0,0,24.3,2.4,1.26,0.56,0.143,0.48,0.0,30.671,30.689,31.038,35.884,31.76,31.968,36.553,32.876,1.1713,1424879.0
2020-01-02 08:36:00,2020-01-02,8,36,3,2,1,1,1,0,0,0,0,0.866025,-0.5,0.5,0.866025,0.433884,-0.900969,29.2,2,90,2200,R-1/TR,0,6,1,1,4,5,5,1,4,1,5,10,6,0,1,0,0.0,2.4,0.28,0.25,0.286,0.6,2.8,8.177,7.931,8.509,7.135,8.279,6.892,9.092,7.978,0.2817,345774.0
2020-01-02 13:06:00,2020-01-02,13,6,3,2,1,1,1,0,0,2,0,-0.258819,-0.965926,0.5,0.866025,0.433884,-0.900969,28.1,1,45,2200,R-1/TR,0,7,1,1,6,4,5,1,4,1,6,10,7,1,1,0,0.0,2.4,0.42,0.2,0.286,0.72,3.8,9.536,8.763,9.729,8.472,8.555,8.956,8.723,8.792,0.2704,381054.0
2020-01-02 13:11:00,2020-01-02,13,11,3,2,1,1,1,0,0,2,0,-0.258819,-0.965926,0.5,0.866025,0.433884,-0.900969,32.2,6,90,1300,R-1/TR,1,11,2,2,3,6,5,1,3,1,6,14,11,1,0,0,9.9,4.8,0.42,0.3,0.214,0.72,1.0,19.033,18.258,20.62,19.655,19.013,18.649,17.663,19.323,0.6207,837478.0
2020-01-02 13:28:00,2020-01-02,13,28,3,2,1,1,1,0,0,2,0,-0.258819,-0.965926,0.5,0.866025,0.433884,-0.900969,31.4,4,72,2200,R-1/TR,1,9,2,2,4,3,5,1,4,0,0,10,9,0,0,1,8.1,4.8,0.56,0.15,0.286,0.0,0.25,17.375,18.139,17.138,20.163,19.041,17.057,17.997,17.287,0.5313,749236.0
2020-01-02 13:54:00,2020-01-02,13,54,3,2,1,1,1,0,0,2,0,-0.258819,-0.965926,0.5,0.866025,0.433884,-0.900969,32.9,7,72,450,R-1/TR,1,10,2,3,3,4,3,1,3,2,6,14,10,0,1,0,9.0,4.8,0.63,0.12,0.214,1.44,2.8,21.391,22.14,22.912,20.805,23.345,23.837,21.575,22.733,0.7519,985271.0
2020-01-02 16:41:00,2020-01-02,16,41,3,2,1,1,1,0,0,2,0,-0.866025,-0.5,0.5,0.866025,0.433884,-0.900969,31.2,6,60,2200,R-1/TR,1,10,2,1,3,4,5,1,3,1,1,11,10,0,0,1,9.0,4.8,0.21,0.2,0.214,0.12,0.25,16.365,14.886,15.289,18.455,14.845,16.354,15.853,16.475,0.5929,714043.0
2020-01-02 17:05:00,2020-01-02,17,5,3,2,1,1,1,0,0,2,0,-0.965926,-0.258819,0.5,0.866025,0.433884,-0.900969,26.6,1,54,2200,R-1/TR,1,4,1,1,6,2,4,1,5,1,6,9,4,0,1,1,3.6,2.4,0.42,0.08,0.357,0.72,3.05,9.327,12.378,13.256,12.742,11.72,9.779,11.833,11.912,0.4398,516278.0
2020-01-02 17:43:00,2020-01-02,17,43,3,2,1,1,1,0,0,2,0,-0.965926,-0.258819,0.5,0.866025,0.433884,-0.900969,30.0,6,54,1300,R-1/TR,1,10,2,2,4,2,4,1,2,1,5,9,10,0,0,0,9.0,4.8,0.56,0.08,0.143,0.6,0.0,18.624,17.005,18.054,16.408,19.703,19.098,18.889,18.759,0.7008,813034.0
2020-01-02 18:33:00,2020-01-02,18,33,3,2,1,1,1,0,0,3,0,-1.0,-0.0,0.5,0.866025,0.433884,-0.900969,31.8,5,45,900,R-1/TR,0,9,1,3,5,4,7,1,4,0,0,10,9,0,1,0,0.0,2.4,1.05,0.28,0.286,0.0,2.8,6.656,9.068,7.971,7.441,8.218,8.271,7.256,7.764,0.4273,336500.0
2020-01-02 19:58:00,2020-01-02,19,58,3,2,1,1,1,0,0,3,0,-0.965926,0.258819,0.5,0.866025,0.433884,-0.900969,31.0,4,54,3500,R-2/TR,1,10,1,1,3,4,6,1,3,2,6,11,10,0,1,0,9.0,2.4,0.21,0.24,0.214,1.44,2.8,21.907,20.616,18.16,20.778,19.76,20.567,21.23,19.838,1.374,859799.0
2020-01-02 20:32:00,2020-01-02,20,32,3,2,1,1,1,0,0,3,0,-0.866025,0.5,0.5,0.866025,0.433884,-0.900969,32.1,3,120,1300,R-1/TR,2,10,2,3,3,8,7,1,4,1,7,18,10,1,0,0,18.0,4.8,0.63,0.56,0.286,0.84,1.0,26.637,29.942,30.563,29.693,29.468,29.46,27.733,29.441,1.7995,1276002.0
2020-01-02 21:10:00,2020-01-02,21,10,3,2,1,1,1,0,0,3,0,-0.707107,0.707107,0.5,0.866025,0.433884,-0.900969,29.8,7,45,900,R-1/TR,1,9,2,1,5,4,7,1,2,2,8,12,9,0,1,0,8.1,4.8,0.35,0.28,0.143,1.92,2.8,21.747,21.774,25.794,22.663,20.857,22.995,26.155,22.044,1.1645,955409.0
2020-01-02 21:20:00,2020-01-02,21,20,3,2,1,1,1,0,0,3,0,-0.707107,0.707107,0.5,0.866025,0.433884,-0.900969,30.5,2,60,900,R-1/TR,0,9,2,3,6,4,7,1,4,1,3,11,9,0,0,0,0.0,4.8,1.26,0.28,0.286,0.36,0.0,7.551,8.226,8.048,8.193,7.868,8.582,7.858,8.205,0.4347,355613.0
2020-01-02 22:32:00,2020-01-02,22,32,3,2,1,1,1,0,0,4,0,-0.5,0.866025,0.5,0.866025,0.433884,-0.900969,26.7,1,120,1300,R-1/TR,2,4,2,2,6,7,8,1,5,1,7,16,4,1,0,0,7.2,4.8,0.84,0.56,0.357,0.84,1.0,18.423,18.988,19.238,19.269,17.487,17.889,19.762,18.431,0.8113,798818.0
2020-01-02 23:43:00,2020-01-02,23,43,3,2,1,1,1,0,0,4,0,-0.258819,0.965926,0.5,0.866025,0.433884,-0.900969,27.3,6,54,2200,R-1/TR,0,9,2,3,3,4,6,1,3,0,0,10,9,0,0,0,0.0,4.8,0.63,0.24,0.214,0.0,0.0,5.786,6.779,7.075,6.546,6.174,6.376,6.728,6.792,0.222,294372.0
2020-01-03 00:18:00,2020-01-03,0,18,4,3,1,1,1,0,0,4,0,0.0,1.0,0.5,0.866025,-0.433884,-0.900969,25.3,1,45,900,R-1/TR,0,6,1,2,4,2,6,1,3,1,2,8,6,0,1,0,0.0,2.4,0.56,0.12,0.214,0.24,2.8,7.684,7.664,6.517,7.767,7.693,6.969,6.595,7.272,0.1202,315176.0
2020-01-03 00:30:00,2020-01-03,0,30,4,3,1,1,1,0,0,4,0,0.0,1.0,0.5,0.866025,-0.433884,-0.900969,27.2,1,150,1300,R-1/TR,3,8,2,2,5,10,6,1,5,1,8,19,8,0,0,0,21.6,4.8,0.7,0.6,0.357,0.96,0.0,32.944,31.254,32.916,33.945,44.047,35.112,36.232,35.047,0.5869,1518972.0
2020-01-03 00:45:00,2020-01-03,0,45,4,3,1,1,1,0,0,4,0,0.0,1.0,0.5,0.866025,-0.433884,-0.900969,24.0,3,36,2200,R-1/TR,0,3,1,2,3,3,6,1,3,1,5,9,3,0,1,0,0.0,2.4,0.42,0.18,0.214,0.6,2.8,7.169,7.099,7.41,7.186,8.228,8.264,7.629,7.592,0.1302,329045.0
2020-01-03 01:08:00,2020-01-03,1,8,4,3,1,1,1,0,0,4,0,0.258819,0.965926,0.5,0.866025,-0.433884,-0.900969,25.1,6,120,3500,R-2/TR,1,6,1,3,3,8,6,1,3,2,3,16,6,0,0,0,5.4,2.4,0.63,0.48,0.214,0.72,0.0,10.168,11.564,11.665,11.983,11.624,11.226,12.121,11.302,0.1611,489840.0
2020-01-03 01:14:00,2020-01-03,1,14,4,3,1,1,1,0,0,4,0,0.258819,0.965926,0.5,0.866025,-0.433884,-0.900969,25.5,1,36,3500,R-2/TR,0,5,2,1,3,2,7,1,3,1,8,8,5,0,1,0,0.0,4.8,0.21,0.14,0.214,0.96,2.8,10.116,9.958,10.041,9.397,9.598,9.734,10.107,10.412,0.1517,451266.0
2020-01-03 01:14:00,2020-01-03,1,14,4,3,1,1,1,0,0,4,0,0.258819,0.965926,0.5,0.866025,-0.433884,-0.900969,25.6,6,72,1300,R-1/TR,0,3,2,3,5,4,6,1,3,1,8,14,3,1,1,1,0.0,4.8,1.05,0.24,0.214,0.96,4.05,13.918,12.605,13.326,12.213,13.715,13.629,13.444,13.013,0.1893,563996.0
2020-01-03 01:59:00,2020-01-03,1,59,4,3,1,1,1,0,0,4,0,0.258819,0.965926,0.5,0.866025,-0.433884,-0.900969,26.7,1,54,2200,R-1/TR,1,2,1,1,6,2,8,1,3,1,6,8,2,1,0,0,1.8,2.4,0.42,0.16,0.214,0.72,1.0,7.387,7.024,7.658,8.393,7.842,6.697,6.939,7.706,0.1088,333986.0
2020-01-03 02:27:00,2020-01-03,2,27,4,3,1,1,1,0,0,4,0,0.5,0.866025,0.5,0.866025,-0.433884,-0.900969,26.0,6,200,450,R-1/TR,3,6,2,2,4,14,8,1,3,2,2,24,6,0,0,0,16.2,4.8,0.56,1.12,0.214,0.48,0.0,28.064,28.242,23.743,27.65,25.771,30.275,23.604,27.032,0.3553,1171594.0
2020-01-03 03:09:00,2020-01-03,3,9,4,3,1,1,1,0,0,4,0,0.707107,0.707107,0.5,0.866025,-0.433884,-0.900969,25.3,5,45,3500,R-2/TR,1,2,1,3,4,3,6,1,3,2,6,11,2,0,0,0,1.8,2.4,0.84,0.18,0.214,1.44,0.0,6.99,7.095,7.616,7.312,6.828,7.015,7.003,7.496,0.0936,324884.0
2020-01-03 03:21:00,2020-01-03,3,21,4,3,1,1,1,0,0,4,0,0.707107,0.707107,0.5,0.866025,-0.433884,-0.900969,27.2,4,72,2200,R-1/TR,1,5,1,3,4,5,6,1,2,1,5,12,5,0,0,0,4.5,2.4,0.84,0.3,0.143,0.6,0.0,10.024,9.008,10.447,9.452,9.378,11.311,8.669,10.081,0.1235,436921.0
2020-01-03 04:01:00,2020-01-03,4,1,4,3,1,1,1,0,0,4,0,0.866025,0.5,0.5,0.866025,-0.433884,-0.900969,26.5,4,120,900,R-1/TR,2,4,1,2,6,7,6,1,3,0,0,15,4,1,1,0,7.2,2.4,0.84,0.42,0.214,0.0,3.8,17.433,15.186,17.131,16.766,15.396,13.766,14.716,15.482,0.1938,671005.0
2020-01-03 04:43:00,2020-01-03,4,43,4,3,1,1,1,0,0,4,0,0.866025,0.5,0.5,0.866025,-0.433884,-0.900969,24.3,1,36,1300,R-1/TR,0,2,1,1,6,3,8,1,3,1,4,8,2,0,1,0,0.0,2.4,0.42,0.24,0.214,0.48,2.8,7.52,6.896,7.901,8.249,7.659,6.845,6.646,7.353,0.0918,318686.0
2020-01-03 05:09:00,2020-01-03,5,9,4,3,1,1,1,0,0,0,0,0.965926,0.258819,0.5,0.866025,-0.433884,-0.900969,26.7,3,45,3500,R-2/TR,0,4,2,2,5,3,6,1,5,1,3,11,4,0,1,1,0.0,4.8,0.7,0.18,0.357,0.36,3.05,10.629,11.292,12.833,9.857,9.453,9.742,10.981,10.956,0.1601,474844.0
2020-01-03 05:30:00,2020-01-03,5,30,4,3,1,1,1,0,0,0,0,0.965926,0.258819,0.5,0.866025,-0.433884,-0.900969,26.9,3,90,1300,R-1/TR,2,5,1,1,5,5,7,1,2,2,3,13,5,0,0,1,9.0,2.4,0.35,0.35,0.143,0.72,0.25,15.18,16.34,15.197,13.161,14.312,14.104,15.504,14.859,0.2191,644004.0
2020-01-03 05:33:00,2020-01-03,5,33,4,3,1,1,1,0,0,0,0,0.965926,0.258819,0.5,0.866025,-0.433884,-0.900969,26.9,4,45,2200,R-1/TR,1,6,2,2,6,2,8,1,3,1,1,10,6,0,1,0,5.4,4.8,0.84,0.16,0.214,0.12,2.8,17.807,16.571,16.746,16.621,17.128,20.107,17.716,16.328,0.2421,707672.0
2020-01-03 05:48:00,2020-01-03,5,48,4,3,1,1,1,0,0,0,0,0.965926,0.258819,0.5,0.866025,-0.433884,-0.900969,27.5,7,120,2200,R-1/TR,1,9,2,2,4,7,8,1,2,1,7,15,9,1,0,0,8.1,4.8,0.56,0.56,0.143,0.84,1.0,19.449,18.792,19.816,21.078,19.012,22.463,20.097,20.642,0.2934,894645.0
2020-01-03 08:02:00,2020-01-03,8,2,4,3,1,1,1,0,0,0,0,0.866025,-0.5,0.5,0.866025,-0.433884,-0.900969,31.4,7,36,1300,R-1/TR,0,12,1,2,3,2,5,1,3,0,0,7,12,0,0,1,0.0,2.4,0.42,0.1,0.214,0.0,0.25,3.596,3.909,3.422,4.027,4.113,4.394,3.615,3.75,0.1278,162529.0
2020-01-03 08:06:00,2020-01-03,8,6,4,3,1,1,1,0,0,0,0,0.866025,-0.5,0.5,0.866025,-0.433884,-0.900969,30.9,5,120,3500,R-2/TR,2,12,2,3,4,7,4,1,4,2,0,19,12,1,1,0,21.6,4.8,0.84,0.28,0.286,0.0,3.8,36.051,32.94,34.891,35.776,36.251,35.194,36.721,32.591,1.1855,1412527.0
2020-01-03 09:32:00,2020-01-03,9,32,4,3,1,1,1,0,0,1,0,0.707107,-0.707107,0.5,0.866025,-0.433884,-0.900969,28.8,1,150,2200,R-1/TR,2,6,1,2,4,9,4,1,5,1,6,17,6,1,0,0,10.8,2.4,0.56,0.36,0.357,0.72,1.0,20.179,20.223,18.538,18.678,17.601,19.426,19.331,19.052,0.6333,825733.0
2020-01-03 10:27:00,2020-01-03,10,27,4,3,1,1,1,0,0,1,0,0.5,-0.866025,0.5,0.866025,-0.433884,-0.900969,29.3,1,60,2200,R-1/TR,1,9,1,1,4,3,3,1,5,1,2,9,9,1,0,0,8.1,2.4,0.28,0.09,0.357,0.24,1.0,13.202,12.957,14.171,13.526,15.496,15.038,14.142,14.1,0.4475,611108.0
2020-01-03 11:53:00,2020-01-03,11,53,4,3,1,1,1,0,0,1,0,0.258819,-0.965926,0.5,0.866025,-0.433884,-0.900969,30.7,2,90,3500,R-2/TR,2,8,2,3,4,6,3,1,5,1,5,15,8,0,0,0,14.4,4.8,0.84,0.18,0.357,0.6,0.0,23.485,24.946,25.966,24.228,28.007,28.676,25.197,25.011,0.7769,1084002.0
2020-01-03 11:59:00,2020-01-03,11,59,4,3,1,1,1,0,0,1,0,0.258819,-0.965926,0.5,0.866025,-0.433884,-0.900969,31.2,4,45,2200,R-1/TR,1,11,2,1,4,4,4,1,2,0,0,9,11,0,0,0,9.9,4.8,0.28,0.16,0.143,0.0,0.0,15.099,19.731,18.295,17.599,18.503,19.911,17.22,17.674,0.557,766009.0
2020-01-03 14:41:00,2020-01-03,14,41,4,3,1,1,1,0,0,2,0,-0.5,-0.866025,0.5,0.866025,-0.433884,-0.900969,31.4,6,54,2200,R-1/TR,1,8,2,2,6,2,3,1,3,2,1,12,8,0,1,1,7.2,4.8,0.84,0.06,0.214,0.24,3.05,18.511,20.685,19.021,16.981,20.063,18.765,18.036,18.797,0.5922,814681.0
2020-01-03 16:00:00,2020-01-03,16,0,4,3,1,1,1,0,0,2,0,-0.866025,-0.5,0.5,0.866025,-0.433884,-0.900969,29.6,1,45,2200,R-1/TR,1,7,2,3,5,2,3,1,5,1,2,10,7,0,0,0,6.3,4.8,1.05,0.06,0.357,0.24,0.0,12.459,14.907,12.545,14.783,14.511,13.217,13.191,13.278,0.4765,575482.0
2020-01-03 19:02:00,2020-01-03,19,2,4,3,1,1,1,0,0,3,0,-0.965926,0.258819,0.5,0.866025,-0.433884,-0.900969,30.1,7,60,1300,R-1/TR,1,8,2,1,6,5,6,1,5,1,4,13,8,1,1,0,7.2,4.8,0.42,0.3,0.357,0.48,3.8,16.797,18.093,16.214,19.936,16.707,17.327,20.127,18.351,1.2867,795351.0
